"x"
41
0
32
63
22
32
42
28
51
33
24
54
20
43
39
52
43
42
47
38
60
34
44
52
46
46
18
29
72
37
20
34
43
36
70
28
41
55
50
31
55
52
30
57
64
51
55
53
75
31
25
39
38
32
48
50
48
55
17
3
