"","age","sex","civil_status","education","professional_experience","COMP1","COMP2","COMP3","COMP4","COMP5","CONF1","CONF2","CONF3","CONF4","CONF5","INSE1","INSE2","INSE3","INSE4","INSE5","alene","leder","bransje","kjønn","complexity"
"73",57,1,3,4,"35",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,"Annet","kvinne",5
"74",38,1,3,3,"20",5,5,5,3,4,4,2,2,3,3,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",22
"75",51,2,3,1,"30",3,2,2,5,3,2,2,2,2,2,1,2,1,2,1,FALSE,FALSE,"Helse og omsorg","mann",15
"76",44,1,1,2,"23",4,3,3,4,4,1,1,1,1,2,2,1,1,1,1,TRUE,FALSE,"Helse og omsorg","kvinne",18
"77",33,1,2,4,"10",2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,FALSE,TRUE,"Helse og omsorg","kvinne",13
"78",41,1,3,4,"18",1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",7
"79",23,1,1,2,"7",2,2,2,4,2,3,3,3,3,3,2,1,2,2,2,TRUE,FALSE,"Helse og omsorg","kvinne",12
"80",42,1,1,4,"16",5,5,3,5,2,3,3,2,2,2,3,4,4,3,5,TRUE,FALSE,"Helse og omsorg","kvinne",20
"81",34,1,2,2,"16",1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,FALSE,FALSE,"Annet","kvinne",5
"82",40,1,2,3,"20",2,3,2,4,1,4,5,5,4,5,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",12
"83",33,1,1,2,"12",6,7,7,7,7,5,5,6,6,5,4,2,2,1,2,TRUE,FALSE,"Helse og omsorg","kvinne",34
"84",31,1,2,3,"10",3,4,3,3,3,3,3,2,2,2,2,2,2,2,2,FALSE,FALSE,"Helse og omsorg","kvinne",16
"85",38,2,1,4,"10",1,2,1,1,4,2,2,2,1,2,1,1,1,1,1,TRUE,TRUE,"Helse og omsorg","mann",9
"86",41,1,3,4,"20",1,1,5,5,5,2,7,7,5,5,1,1,1,1,1,FALSE,FALSE,"Annet","kvinne",17
"87",34,1,5,3,"10",5,6,5,6,6,4,4,4,4,4,6,2,4,2,2,TRUE,FALSE,"Helse og omsorg","kvinne",28
"88",49,1,3,2,"16",4,4,5,7,5,7,7,7,7,6,5,2,4,3,2,FALSE,FALSE,"Helse og omsorg","kvinne",25
"89",65,2,3,4,"40",1,1,2,4,5,1,3,3,1,2,1,1,1,1,1,FALSE,TRUE,"Annet","mann",13
"90",42,2,3,2,"20",3,3,2,2,3,3,3,3,4,4,1,1,4,1,1,FALSE,FALSE,"Annet","mann",13
"91",35,1,2,3,"17",6,6,5,6,6,5,5,5,2,6,2,2,2,2,2,FALSE,FALSE,"Helse og omsorg","kvinne",29
"92",24,1,2,3,"4",3,3,2,4,2,1,1,2,2,2,1,1,1,2,1,FALSE,FALSE,"Annet","kvinne",14
"93",33,2,2,1,"8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,"Annet","mann",5
"94",33,2,1,3,"8",6,6,6,6,6,2,2,2,2,2,2,1,1,1,1,TRUE,FALSE,"Helse og omsorg","mann",30
"95",25,1,2,3,"7",3,5,6,7,7,6,7,5,2,5,1,2,2,3,2,FALSE,FALSE,"Helse og omsorg","kvinne",28
"96",56,1,1,2,"34",7,7,7,7,7,4,2,2,4,4,2,4,4,2,2,TRUE,FALSE,"Helse og omsorg","kvinne",35
"97",56,1,3,3,"34",4,4,4,5,4,4,2,2,2,2,3,3,4,3,3,FALSE,FALSE,"Helse og omsorg","kvinne",21
"98",50,1,2,3,"37",3,3,2,3,3,3,1,2,1,2,3,3,2,1,2,FALSE,TRUE,"Annet","kvinne",14
"99",33,1,2,3,"9",5,4,5,5,3,3,2,4,2,3,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",22
"100",32,1,2,4,"14",2,4,3,6,6,3,3,3,4,3,1,2,4,1,1,FALSE,FALSE,"Annet","kvinne",21
"101",46,2,3,2,"25",1,1,1,1,1,3,3,3,2,2,1,1,1,1,1,FALSE,FALSE,"Annet","mann",5
"102",36,1,1,3,"14",4,5,5,5,7,1,1,1,1,3,2,5,5,2,2,TRUE,TRUE,"Helse og omsorg","kvinne",26
"103",46,1,3,4,"23",2,2,2,2,2,3,3,5,5,6,1,1,1,1,1,FALSE,FALSE,"Annet","kvinne",10
"104",23,2,1,3,"5",5,5,5,6,6,4,3,4,4,4,3,1,1,1,1,TRUE,FALSE,"Helse og omsorg","mann",27
"105",35,1,3,2,"16",4,5,2,4,3,2,2,2,2,2,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",18
"106",21,2,1,2,"2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,FALSE,"Annet","mann",5
"107",53,2,3,4,"25",1,4,5,6,7,1,1,1,1,1,1,1,1,1,1,FALSE,TRUE,"Helse og omsorg","mann",23
"108",60,2,3,2,"40",2,2,2,3,3,2,4,4,4,4,2,2,2,2,2,FALSE,TRUE,"Annet","mann",12
"109",49,1,5,4,"20",5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,TRUE,FALSE,"Annet","kvinne",16
"110",54,1,5,2,"34",5,2,2,3,3,2,2,3,2,3,3,4,3,3,3,TRUE,FALSE,"Annet","kvinne",15
"111",61,1,3,2,"47",5,5,3,6,6,5,2,5,3,2,3,3,2,2,1,FALSE,FALSE,"Helse og omsorg","kvinne",25
"112",51,2,3,4,"35",1,4,2,2,2,2,2,2,2,2,1,2,2,2,2,FALSE,TRUE,"Annet","mann",11
"113",53,1,3,3,"27",2,3,2,7,4,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",18
