"","Org_num","Alder","Engasjement","Utbrenthet","Overbelastning","Kynisme","Medarbeiderskap","Turnoverintensjon","Informasjonogforutsigbarhet","Medvirkning","Autonomi","Tilbakemelding","Investeringimedarbeiderutvikling","Ledelseskvalitet","Støttefrakolleger","Klarhetimål","Interntsamarbeid","Arbeidspress","Kjønn","Barn_num","Eng1","Eng2","Eng3","Eng4","Eng5","Eng6","Medarb1","Medarb2","Medarb3","Medarb4","Overb1","Overb2","Overb3","Overb4","Kyn1","Kyn2","Kyn3","Turn1","Turn2","Turn3","Info1","Info2","Medv1","Medv2","Medv3","Auto1","Auto2","Auto3","Tilbm1","Tilbm2","Tilbm3","Inv1","Inv2","Inv3","LK1","LK2","LK3","LK4","LK5","Stk1","Stk2","Stk3","Stk4","Stk5","Stk6","Stk7","Kmål1","Kmål2","Kmål3","Ints1","Ints2","Ints3","Ints4","Ints5","Arbp1","Arbp2","Arbp3"
"402",2,35,2,3.71428571428571,3.5,4,2,2.667,4,2.667,4.667,2.667,3.333,5,2.714,3,2.6,2,1,2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,4,4,4,2,4,2,4,4,2,2,4,5,4,5,4,2,2,3,3,4,5,5,5,5,5,2,2,3,4,2,4,2,3,3,3,3,3,2,2,3,2,2,2
"403",2,35,2.167,3.14285714285714,2.5,4,3,3.667,4,2.667,4,3.333,1,2.2,4.571,4,3.6,2,2,2,2,2,2,2,3,2,2,4,2,4,2,2,4,2,4,4,4,4,3,4,4,4,2,4,2,4,4,4,4,2,4,1,1,1,2,2,2,3,2,5,5,3,5,5,5,4,4,4,4,3,4,3,4,4,2,2,2
"404",2,35,2.833,4.57142857142857,4.5,4.66666666666667,4,1,1,2.333,5,1,1.667,1.6,2.143,2.667,3.6,1,1,2,2,2,2,3,5,3,5,4,2,5,5,4,5,4,5,5,4,1,1,1,1,1,3,2,2,5,5,5,1,1,1,2,1,2,1,1,1,3,2,2,2,2,3,3,2,1,3,2,3,5,2,3,5,3,1,1,1
"405",2,35,2.833,3.42857142857143,3.25,3.66666666666667,3.5,3.333,4,3.333,4,3.667,2.667,3.4,2.714,3,3.2,2.667,2,2,3,3,2,4,3,2,4,3,3,4,3,3,4,3,4,4,3,3,4,3,4,4,3,3,4,4,4,4,3,4,4,3,3,2,4,3,3,4,3,3,2,2,2,3,3,4,3,3,3,2,3,4,4,3,2,3,3
"406",2,35,2.833,3.14285714285714,2.5,4,5,4,2.5,1.333,3,3.333,2,2.8,3.429,3,3.2,3.333,2,2,3,3,2,4,3,2,5,5,5,5,2,2,4,2,4,4,4,4,4,4,2,3,2,1,1,3,4,2,4,3,3,2,2,2,3,4,3,2,2,4,4,3,4,3,4,2,3,3,3,3,4,2,4,3,4,4,2
"407",2,35,3,3,2.5,3.66666666666667,4,4,4,2.667,4,4,4,3.6,2,4,2.4,3,2,1,3,3,3,3,3,3,4,4,4,4,2,2,3,3,4,4,3,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,3,4,4,3,2,2,2,2,2,2,2,4,4,4,3,3,2,2,2,3,3,3
"408",2,35,3.333,2.85714285714286,2.25,3.66666666666667,4.25,1.667,4,4,5,2,2,3.8,3.571,3.667,2.4,2.333,2,1,3,3,3,3,4,4,5,4,4,4,3,2,2,2,3,4,4,3,1,1,4,4,4,4,4,5,5,5,2,2,2,2,2,2,3,4,4,4,4,4,4,3,2,4,4,4,2,5,4,2,2,2,3,3,3,2,2
"409",2,35,3.5,3.57142857142857,3.75,3.33333333333333,3.5,2.667,3,3,2.667,3,3.667,3.4,3.571,2.667,3.6,4.333,1,1,3,4,4,4,3,3,3,3,4,4,5,4,3,3,3,3,4,4,2,2,3,3,3,3,3,3,3,2,3,4,2,4,3,4,4,4,2,3,4,3,4,4,4,3,4,3,3,2,3,4,3,4,4,3,4,4,5
"410",2,35,3.667,2.71428571428571,4,1,4,1,3.5,5,4.333,3.667,3.333,5,4,3,3.6,4.333,2,2,3,4,4,4,4,3,3,3,5,5,4,4,4,4,1,1,1,1,1,1,4,3,5,5,5,5,4,4,4,3,4,3,3,4,5,5,5,5,5,4,5,4,4,3,4,4,3,3,3,3,4,4,4,3,4,5,4
"411",2,35,3.667,3.14285714285714,2.5,4,4,4.667,3,4,4,3,4,5,4.714,3.667,4,2,2,2,3,4,4,3,5,3,4,4,4,4,2,2,3,3,4,3,5,4,5,5,2,4,4,4,4,4,4,4,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,4,5,4,4,3,4,4,4,4,4,4,2,2,2
"412",2,35,3.667,4,5,2.66666666666667,4,4,1.5,1.333,3.333,4,1,4.6,3.857,1.667,3.6,4,2,2,3,4,4,4,4,3,4,4,4,4,5,5,5,5,3,3,2,4,4,4,1,2,1,2,1,2,4,4,4,4,4,1,1,1,4,5,4,5,5,4,4,4,4,4,3,4,1,1,3,3,3,4,4,4,3,4,5
"413",2,35,3,3.71428571428571,3.75,3.66666666666667,5,3,2,3,4.333,4.333,2,4.2,4.143,2,3.6,4,1,2,4,3,4,1,4,2,5,5,5,5,4,3,4,4,3,3,5,4,1,4,2,2,4,2,3,5,4,4,5,4,4,2,1,3,4,5,4,4,4,4,3,4,5,4,5,4,1,2,3,4,4,3,4,3,4,4,4
"414",2,35,3.333,2.85714285714286,3,2.66666666666667,3.25,3.667,4,3,3.667,2.667,1,3.2,2.571,4,3,3.667,1,1,4,4,2,4,4,2,4,5,2,2,2,4,2,4,4,2,2,2,5,4,4,4,1,4,4,4,4,3,2,2,4,1,1,1,2,4,2,4,4,1,1,3,4,2,4,3,4,4,4,2,3,4,2,4,4,4,3
"415",2,35,3.333,2.85714285714286,2,4,4,3,2.5,1.667,3.333,2,2,2.8,3.857,3.667,4,2,2,1,4,4,2,4,4,2,4,4,4,4,2,2,2,2,4,4,4,3,3,3,3,2,2,1,2,3,4,3,2,2,2,2,2,2,2,3,3,3,3,4,4,4,5,4,4,2,3,4,4,4,4,4,4,4,2,2,2
